Position,Bowler,Matches,Overs,Balls,Wickets,Economy,Runs
1,Fazalhaq Farooqi,8,25.2,152,17,9.41,160
2,Arshdeep Singh,8,30,180,17,12.65,215
3,Jasprit Bumrah,8,29.4,178,15,8.27,124
4,Anrich Nortje,9,35,210,15,13.4,201
5,Rashid Khan,8,29,174,14,12.79,179
6,Rishad Hossain,7,25,150,14,13.86,194
7,Naveen-ul-Haq,8,26.4,160,13,12.31,160
8,Kagiso Rabada,9,31,186,13,15,195
9,Adam Zampa,7,28,168,13,14.38,187
10,Alzarri Joseph,7,24.3,147,13,13.62,177
11,Tanzim Hasan Sakib,7,24,144,11,13.55,149
12,Keshav Maharaj,8,28,168,11,15.91,175
13,Andre Russell,7,20.1,121,11,12.82,141
14,Tabraiz Shamsi,5,16.5,101,11,11.64,128
15,Hardik Pandya,8,25,150,11,17.36,191
